packet_id,flow_id,priority,arrival_time_ms,outcome,service_time_ms,finish_time_ms,waiting_ms,sojourn_ms,deadline_ms,is_deadline_missed,tx_count,bler,is_success,snr_db,mcs,is_los
ETC-000060,ETC,1,302,delivered,302,303,0,1,1,False,1,1.2799716841982445e-10,True,17.118298918514427,QPSK,False
HRP-000076,HRP,2,304,delivered,304,305,0,1,4,False,1,2.559943368396489e-10,True,35.62636377623167,16QAM,True
ETC-000061,ETC,1,308,tx_fail_requeue,308,309,0,1,1,False,1,0.9998378158154937,False,3.5622453904188562,QPSK,False
ETC-000061,ETC,1,308,dropped_deadline,308,309,1,1,1,True,1,0.0,False,,,
HRP-000077,HRP,2,308,delivered,309,310,1,2,4,False,1,2.559943368396489e-10,True,17.27491870439944,QPSK,False
HRP-000078,HRP,2,312,delivered,312,313,0,1,4,False,1,4.9311750811575905e-06,True,21.712072687347156,16QAM,False
ETC-000062,ETC,1,313,delivered,313,314,0,1,1,False,1,0.09991312755626769,True,9.960617508334332,QPSK,False
HRP-000079,HRP,2,316,delivered,316,317,0,1,4,False,1,2.559943368396489e-10,True,30.863137994293236,16QAM,False
ETC-000063,ETC,1,319,delivered,319,320,0,1,1,False,1,1.2799716841982445e-10,True,27.000059388248843,16QAM,False
HRP-000080,HRP,2,320,delivered,320,321,0,1,4,False,1,2.559943368396489e-10,True,25.36627539147763,16QAM,False
SRP-000016,SRP,3,320,delivered,321,322,1,2,50,False,1,1.5999646052478056e-09,True,41.72136231504091,16QAM,True
HRP-000081,HRP,2,324,delivered,324,325,0,1,4,False,1,2.559943368396489e-10,True,35.50401974142834,16QAM,False
HRP-000082,HRP,2,328,delivered,328,329,0,1,4,False,1,2.559943368396489e-10,True,30.317958063439676,16QAM,False
ETC-000064,ETC,1,329,delivered,329,330,0,1,1,False,1,1.2799716841982445e-10,True,25.96334147892053,16QAM,False
HRP-000083,HRP,2,332,delivered,332,333,0,1,4,False,1,2.559943368396489e-10,True,27.549025249977454,16QAM,False
HRP-000084,HRP,2,336,delivered,336,337,0,1,4,False,1,1.0682331985201188e-05,True,21.487135491641382,16QAM,False
ETC-000065,ETC,1,337,delivered,337,338,0,1,1,False,1,1.2799716841982445e-10,True,24.412532671694333,16QAM,False
