packet_id,flow_id,priority,arrival_time_ms,outcome,service_time_ms,finish_time_ms,first_tx_time_ms,delivered_time_ms,waiting_ms,queue_delay_ms,tx_time_ms,sojourn_ms,deadline_ms,is_deadline_missed,tx_count,bler,is_success,snr_db,mcs,is_los,bits_per_slot,bits_sent_this_slot,remaining_bits_after,bandwidth_eff_mhz
HRP-000052,HRP,2,208,delivered,209,210,209,210,1,1,1,2,4,False,1,2.559943368396489e-10,True,39.306496692045336,16QAM,False,60000,256,0,20.0
HRP-000053,HRP,2,212,delivered,212,213,212,213,0,0,1,1,4,False,1,0.00017575394237157038,True,20.562329634850695,16QAM,False,60000,256,0,20.0
ETC-000040,ETC,1,215,delivered,215,216,215,216,0,0,1,1,1,False,1,1.2799716841982445e-10,True,37.95034441690782,16QAM,True,60000,128,0,20.0
ETC-000041,ETC,1,216,delivered,216,217,216,217,0,0,1,1,1,False,1,1.2799716841982445e-10,True,41.137943967778945,16QAM,True,60000,128,0,20.0
HRP-000054,HRP,2,216,delivered,217,218,217,218,1,1,1,2,4,False,1,2.559943368396489e-10,True,33.58136678875833,16QAM,False,60000,256,0,20.0
ETC-000042,ETC,1,218,delivered,218,219,218,219,0,0,1,1,1,False,1,1.2799716841982445e-10,True,43.22490734862488,16QAM,True,60000,128,0,20.0
ETC-000043,ETC,1,220,delivered,220,221,220,221,0,0,1,1,1,False,1,1.2799716841982445e-10,True,35.8779441009706,16QAM,False,60000,128,0,20.0
ETC-000044,ETC,1,221,delivered,221,222,221,222,0,0,1,1,1,False,1,1.2799716841982445e-10,True,40.38270042012498,16QAM,False,60000,128,0,20.0
HRP-000055,HRP,2,220,delivered,222,223,222,223,2,2,1,3,4,False,1,2.559943368396489e-10,True,43.23225911248963,16QAM,True,60000,256,0,20.0
ETC-000045,ETC,1,223,delivered,223,224,223,224,0,0,1,1,1,False,1,1.2799716841982445e-10,True,40.43588465982009,16QAM,False,60000,128,0,20.0
