packet_id,ue_id,flow_id,flow_type,priority,size_bytes,arrival_time_ms,start_tx_time_ms,finish_time_ms,tx_duration_ms,deadline_ms,outcome,tx_count,is_deadline_missed,mcs,snr_db,bler
ETC-ue00-000005,0,ETC,ETC,1,16,18,18.0,19.0,1.0,1,delivered,1,False,16QAM,58.880973596044356,1.2799716841982445e-10
ETC-ue01-000002,1,ETC,ETC,1,16,18,18.0,19.0,1.0,1,delivered,1,False,16QAM,56.52542067240239,1.2799716841982445e-10
ETC-ue02-000003,2,ETC,ETC,1,16,18,18.0,19.0,1.0,1,delivered,1,False,16QAM,45.08780445471473,1.2799716841982445e-10
ETC-ue00-000006,0,ETC,ETC,1,16,19,19.0,20.0,1.0,1,delivered,1,False,16QAM,53.08210171654559,1.2799716841982445e-10
ETC-ue01-000003,1,ETC,ETC,1,16,19,19.0,20.0,1.0,1,delivered,1,False,16QAM,45.41236690190022,1.2799716841982445e-10
ETC-ue02-000004,2,ETC,ETC,1,16,20,20.0,21.0,1.0,1,delivered,1,False,16QAM,60.3211998412135,1.2799716841982445e-10
ETC-ue05-000004,5,ETC,ETC,1,16,20,20.0,21.0,1.0,1,delivered,1,False,16QAM,41.5106449321529,1.2799716841982445e-10
HRP-ue00-000005,0,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,56.13513447239012,2.559943368396489e-10
HRP-ue01-000005,1,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,52.81418546237585,2.559943368396489e-10
HRP-ue02-000005,2,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,60.3211998412135,2.559943368396489e-10
HRP-ue03-000005,3,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,41.717327203249795,2.559943368396489e-10
HRP-ue04-000005,4,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,48.295051006312505,2.559943368396489e-10
HRP-ue05-000005,5,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,41.5106449321529,2.559943368396489e-10
HRP-ue06-000005,6,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,46.49513011906685,2.559943368396489e-10
HRP-ue07-000005,7,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,38.800572199363245,2.559943368396489e-10
HRP-ue08-000005,8,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,48.334624788075004,2.559943368396489e-10
HRP-ue09-000005,9,HRP,HRP,2,32,20,20.0,21.0,1.0,4,delivered,1,False,16QAM,41.410960252002425,2.559943368396489e-10
SRP-ue00-000001,0,SRP,SRP,3,200,20,20.0,21.0,1.0,50,delivered,1,False,16QAM,56.13513447239012,1.5999646052478056e-09
SRP-ue01-000001,1,SRP,SRP,3,200,20,20.0,24.0,4.0,50,delivered,2,False,16QAM,58.002007229241286,1.5999646052478056e-09
SRP-ue02-000001,2,SRP,SRP,3,200,20,21.0,22.0,1.0,50,delivered,1,False,16QAM,38.49538089349089,1.5999646052478056e-09
SRP-ue03-000001,3,SRP,SRP,3,200,20,21.0,22.0,1.0,50,delivered,1,False,16QAM,51.87239493480219,1.5999646052478056e-09
SRP-ue04-000001,4,SRP,SRP,3,200,20,21.0,22.0,1.0,50,delivered,1,False,16QAM,55.783633171299094,1.5999646052478056e-09
SRP-ue05-000001,5,SRP,SRP,3,200,20,21.0,24.0,3.0,50,delivered,2,False,16QAM,50.43588465982008,1.5999646052478056e-09
