packet_id,attempt_idx,t_tx_start_ms,mcs,snr_db,bler,is_success,bits_sent,remaining_bits_after
ETC-000055,1,267,16QAM,66.43730672425234,1.2799716841982445e-10,True,128,0
ETC-000056,1,268,16QAM,47.15729605817492,1.2799716841982445e-10,True,128,0
HRP-000067,1,269,16QAM,61.09688190625069,2.559943368396489e-10,True,256,0
HRP-000068,1,272,16QAM,60.566606380053294,2.559943368396489e-10,True,256,0
ETC-000057,1,275,16QAM,67.23277482041027,1.2799716841982445e-10,True,128,0
ETC-000058,1,276,16QAM,49.97992027551507,1.2799716841982445e-10,True,128,0
HRP-000069,1,277,16QAM,59.14978286376936,2.559943368396489e-10,True,256,0
ETC-000059,1,279,16QAM,54.74573049374716,1.2799716841982445e-10,True,128,0
HRP-000070,1,280,16QAM,65.22760130171112,2.559943368396489e-10,True,256,0
SRP-000014,1,281,16QAM,44.64531989990188,1.5999646052478056e-09,True,600,1000
SRP-000014,2,282,16QAM,49.2670722481555,1.5999646052478056e-09,True,600,400
SRP-000014,3,283,16QAM,66.07378878065771,1.5999646052478056e-09,True,400,0
HRP-000071,1,284,16QAM,54.91321982885224,2.559943368396489e-10,True,256,0
HRP-000072,1,288,16QAM,41.31490540784132,2.559943368396489e-10,True,256,0
HRP-000073,1,292,16QAM,59.9583230956921,2.559943368396489e-10,True,256,0
HRP-000074,1,296,16QAM,55.17529206339883,2.559943368396489e-10,True,256,0
HRP-000075,1,300,16QAM,62.13391354619843,2.559943368396489e-10,True,256,0
SRP-000015,1,301,16QAM,56.44613792210245,1.5999646052478056e-09,True,600,1000
ETC-000060,1,302,16QAM,66.97998317419359,1.2799716841982445e-10,True,128,0
SRP-000015,2,303,16QAM,54.44249542504879,1.5999646052478056e-09,True,600,400
HRP-000076,1,304,16QAM,50.16120407411701,2.559943368396489e-10,True,256,0
SRP-000015,3,305,16QAM,65.29486308288875,1.5999646052478056e-09,True,400,0
ETC-000061,1,308,16QAM,63.3592591030512,1.2799716841982445e-10,True,128,0
HRP-000077,1,309,16QAM,62.915457799225905,2.559943368396489e-10,True,256,0
HRP-000078,1,312,16QAM,60.643242234421315,2.559943368396489e-10,True,256,0
ETC-000062,1,313,16QAM,62.579317745596384,1.2799716841982445e-10,True,128,0
HRP-000079,1,316,16QAM,53.90849284710629,2.559943368396489e-10,True,256,0
ETC-000063,1,319,16QAM,70.60180589828329,1.2799716841982445e-10,True,128,0
HRP-000080,1,320,16QAM,71.82944462289721,2.559943368396489e-10,True,256,0
SRP-000016,1,321,16QAM,56.27118424928325,1.5999646052478056e-09,True,600,1000
SRP-000016,2,322,16QAM,60.47429569126241,1.5999646052478056e-09,True,600,400
SRP-000016,3,323,16QAM,59.80592795238603,1.5999646052478056e-09,True,400,0
HRP-000081,1,324,16QAM,67.65144565615462,2.559943368396489e-10,True,256,0
HRP-000082,1,328,16QAM,70.85794757916672,2.559943368396489e-10,True,256,0
ETC-000064,1,329,16QAM,69.40558863279692,1.2799716841982445e-10,True,128,0
HRP-000083,1,332,16QAM,32.532284148902136,2.559943368396489e-10,True,256,0
HRP-000084,1,336,16QAM,60.691259776924255,2.559943368396489e-10,True,256,0
ETC-000065,1,337,16QAM,67.8039331132308,1.2799716841982445e-10,True,128,0
ETC-000066,1,339,16QAM,55.9810615365314,1.2799716841982445e-10,True,128,0
ETC-000067,1,340,16QAM,63.63673352816528,1.2799716841982445e-10,True,128,0
HRP-000085,1,341,16QAM,55.86628305924169,2.559943368396489e-10,True,256,0
ETC-000068,1,342,16QAM,61.727225810720476,1.2799716841982445e-10,True,128,0
SRP-000017,1,343,16QAM,58.73300513632347,1.5999646052478056e-09,True,600,1000
ETC-000069,1,344,16QAM,46.63422581445724,1.2799716841982445e-10,True,128,0
HRP-000086,1,345,16QAM,63.44883036319578,2.559943368396489e-10,True,256,0
ETC-000070,1,346,16QAM,39.26349408604288,1.2799716841982445e-10,True,128,0
SRP-000017,2,347,16QAM,65.78561797992305,1.5999646052478056e-09,True,600,400
HRP-000087,1,348,16QAM,64.24206184087136,2.559943368396489e-10,True,256,0
SRP-000017,3,349,16QAM,62.516661304969006,1.5999646052478056e-09,True,400,0
HRP-000088,1,352,16QAM,62.29348700273904,2.559943368396489e-10,True,256,0
HRP-000089,1,356,16QAM,52.16643662671891,2.559943368396489e-10,True,256,0
HRP-000090,1,360,16QAM,36.71775274684114,2.559943368396489e-10,True,256,0
