packet_id,flow_id,priority,t_arrival_ms,t_first_tx_ms,t_done_ms,queue_delay_ms,sojourn_ms,deadline_ms,is_deadline_missed,outcome,tx_count,is_success,mcs,snr_db,bler,bandwidth_eff_mhz,bits_per_slot_eff,packet_bits
ETC-000056,ETC,1,268,268,269,0,1,1,False,delivered,1,True,16QAM,47.15729605817492,1.2799716841982445e-10,0.2,600,128
HRP-000067,HRP,2,268,269,270,1,2,4,False,delivered,1,True,16QAM,61.09688190625069,2.559943368396489e-10,0.2,600,256
HRP-000068,HRP,2,272,272,273,0,1,4,False,delivered,1,True,16QAM,60.566606380053294,2.559943368396489e-10,0.2,600,256
ETC-000057,ETC,1,275,275,276,0,1,1,False,delivered,1,True,16QAM,67.23277482041027,1.2799716841982445e-10,0.2,600,128
ETC-000058,ETC,1,276,276,277,0,1,1,False,delivered,1,True,16QAM,49.97992027551507,1.2799716841982445e-10,0.2,600,128
HRP-000069,HRP,2,276,277,278,1,2,4,False,delivered,1,True,16QAM,59.14978286376936,2.559943368396489e-10,0.2,600,256
ETC-000059,ETC,1,279,279,280,0,1,1,False,delivered,1,True,16QAM,54.74573049374716,1.2799716841982445e-10,0.2,600,128
HRP-000070,HRP,2,280,280,281,0,1,4,False,delivered,1,True,16QAM,65.22760130171112,2.559943368396489e-10,0.2,600,256
SRP-000014,SRP,3,280,281,284,1,4,50,False,delivered,3,True,16QAM,66.07378878065771,1.5999646052478056e-09,0.2,600,1600
HRP-000071,HRP,2,284,284,285,0,1,4,False,delivered,1,True,16QAM,54.91321982885224,2.559943368396489e-10,0.2,600,256
HRP-000072,HRP,2,288,288,289,0,1,4,False,delivered,1,True,16QAM,41.31490540784132,2.559943368396489e-10,0.2,600,256
HRP-000073,HRP,2,292,292,293,0,1,4,False,delivered,1,True,16QAM,59.9583230956921,2.559943368396489e-10,0.2,600,256
HRP-000074,HRP,2,296,296,297,0,1,4,False,delivered,1,True,16QAM,55.17529206339883,2.559943368396489e-10,0.2,600,256
HRP-000075,HRP,2,300,300,301,0,1,4,False,delivered,1,True,16QAM,62.13391354619843,2.559943368396489e-10,0.2,600,256
